Vị trí lá bài,Mã lá bài,Xác suất xuất hiện,Tìm được cặp (True/False)
25,6,0.1,False
39,3,0.1,False
15,2,0.1,False
9,5,0.1,False
11,9,0.1,False
27,1,0.1,False
16,3,0.1,False
5,1,0.1,False
18,1,0.1,False
14,6,0.1,False
0,1,0.1,True
5,1,0.1,True
3,4,0.1,True
8,4,0.1,True
20,9,0.1,False
4,4,0.1,False
10,1,0.1,False
14,6,0.1,False
11,9,0.1,True
24,9,0.1,True
39,3,0.1,False
6,7,0.1,False
26,7,0.1,False
38,3,0.1,False
20,9,0.1,False
38,3,0.1,False
27,1,0.1,False
38,3,0.1,False
25,6,0.1,False
28,8,0.1,False
12,5,0.1,False
2,8,0.1,False
2,8,0.1,False
7,6,0.1,False
38,3,0.1,False
29,4,0.1,False
39,3,0.1,False
14,6,0.1,False
23,4,0.1,False
28,8,0.1,False
25,6,0.1,False
32,8,0.1,False
23,4,0.1,False
36,8,0.1,False
30,7,0.1,False
19,3,0.1,False
13,3,0.1,False
34,1,0.1,False
31,6,0.1,True
22,6,0.1,True
29,4,0.1,False
38,3,0.1,False
23,4,0.1,True
29,4,0.1,True
13,3,0.1,False
17,6,0.1,False
10,1,0.1,True
27,1,0.1,True
15,2,0.1,False
6,7,0.1,False
16,3,0.1,False
2,8,0.1,False
28,8,0.1,True
32,8,0.1,True
37,2,0.1,False
19,3,0.1,False
39,3,0.1,False
34,1,0.1,False
7,6,0.1,False
34,1,0.1,False
14,6,0.1,False
12,5,0.1,False
38,3,0.1,False
37,2,0.1,False
6,7,0.1,False
1,4,0.1,False
17,6,0.1,True
14,6,0.1,True
4,4,0.1,False
21,7,0.1,False
26,7,0.1,False
38,3,0.1,False
25,6,0.1,False
30,7,0.1,False
39,3,0.1,False
4,4,0.1,False
36,8,0.1,False
39,3,0.1,False
7,6,0.1,False
21,7,0.1,False
12,5,0.1,False
6,7,0.1,False
37,2,0.1,False
25,6,0.1,False
33,3,0.1,False
12,5,0.1,False
30,7,0.1,False
7,6,0.1,False
7,6,0.1,True
25,6,0.1,True
20,9,0.1,False
2,8,0.1,False
1,4,0.1,False
38,3,0.1,False
34,1,0.1,False
20,9,0.1,False
12,5,0.1,False
13,3,0.1,False
18,1,0.1,False
4,4,0.1,False
37,2,0.1,False
38,3,0.1,False
19,3,0.1,True
13,3,0.1,True
